"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","2380","Services","0","2,700 K"
"dasHost.exe","12896","Services","0","48 K"
"WmiApSrv.exe","2836","Services","0","2,616 K"
"SearchIndexer.exe","19584","Services","0","17,864 K"
"armsvc.exe","18964","Services","0","332 K"
"csrss.exe","22348","Console","33","4,052 K"
"winlogon.exe","9328","Console","33","9,756 K"
"dwm.exe","12804","Console","33","38,380 K"
"fontdrvhost.exe","13732","Console","33","6,676 K"
"ipf_helper.exe","4440","Console","33","7,244 K"
"sihost.exe","21300","Console","33","21,676 K"
"svchost.exe","14176","Console","33","4,472 K"
"svchost.exe","14288","Console","33","4,736 K"
"svchost.exe","22156","Console","33","12,036 K"
"AsusOptimizationStartupTask.exe","9468","Console","33","4,104 K"
"taskhostw.exe","12428","Console","33","11,708 K"
"taskhostw.exe","17572","Console","33","3,988 K"
"explorer.exe","17036","Console","33","114,908 K"
"ShellHost.exe","8784","Console","33","14,272 K"
"CrossDeviceResume.exe","17312","Console","33","5,088 K"
"svchost.exe","2792","Console","33","10,696 K"
"CrossDeviceService.exe","21408","Console","33","10,736 K"
"SearchHost.exe","20600","Console","33","18,896 K"
"StartMenuExperienceHost.exe","19224","Console","33","23,420 K"
"WidgetBoard.exe","21620","Console","33","7,592 K"
"RuntimeBroker.exe","3120","Console","33","21,204 K"
"svchost.exe","14940","Console","33","12,324 K"
"UserOOBEBroker.exe","9264","Console","33","6,124 K"
"msedgewebview2.exe","5076","Console","33","23,888 K"
"msedgewebview2.exe","14684","Console","33","5,520 K"
"msedgewebview2.exe","3996","Console","33","16,276 K"
"msedgewebview2.exe","3908","Console","33","18,300 K"
"msedgewebview2.exe","16896","Console","33","5,340 K"
"msedgewebview2.exe","21772","Console","33","18,148 K"
"RuntimeBroker.exe","15508","Console","33","5,904 K"
"ctfmon.exe","10832","Console","33","14,192 K"
"TextInputHost.exe","13120","Console","33","25,632 K"
"svchost.exe","6944","Console","33","15,156 K"
"cua-driver.exe","2876","Console","33","2,616 K"
"conhost.exe","9444","Console","33","108 K"
"chrome.exe","17632","Console","33","180,844 K"
"chrome.exe","2432","Console","33","4,576 K"
"chrome.exe","19984","Console","33","239,760 K"
"chrome.exe","16868","Console","33","38,456 K"
"chrome.exe","7236","Console","33","15,568 K"
"chrome.exe","5196","Console","33","20,880 K"
"chrome.exe","22004","Console","33","30,228 K"
"chrome.exe","5364","Console","33","563,988 K"
"chrome.exe","22460","Console","33","15,568 K"
"chrome.exe","9836","Console","33","19,804 K"
"RtkAudUService64.exe","4372","Console","33","4,032 K"
"svchost.exe","4108","Console","33","11,504 K"
"SecurityHealthSystray.exe","13332","Console","33","8,256 K"
"AsusSoftwareManagerAgent.exe","8036","Console","33","6,644 K"
"AdobeCollabSync.exe","21836","Console","33","5,984 K"
"AdobeCollabSync.exe","9148","Console","33","12,596 K"
"IGCCTray.exe","16072","Console","33","16,420 K"
"IGCC.exe","19228","Console","33","11,424 K"
"MEGAsync.exe","6516","Console","33","29,568 K"
"CCXProcess.exe","20724","Console","33","1,896 K"
"node.exe","11520","Console","33","28,344 K"
"conhost.exe","3200","Console","33","3,832 K"
"mega-desktop-app-gfxworker.exe","3216","Console","33","10,780 K"
"AdobeIPCBroker.exe","21812","Console","33","6,668 K"
