"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","2380","Services","0","2,376 K"
"dasHost.exe","12896","Services","0","48 K"
"WmiApSrv.exe","2836","Services","0","2,616 K"
"SearchIndexer.exe","19584","Services","0","20,664 K"
"armsvc.exe","18964","Services","0","332 K"
"csrss.exe","22348","Console","33","4,148 K"
"winlogon.exe","9328","Console","33","9,760 K"
"dwm.exe","12804","Console","33","42,268 K"
"fontdrvhost.exe","13732","Console","33","6,676 K"
"ipf_helper.exe","4440","Console","33","7,308 K"
"sihost.exe","21300","Console","33","23,212 K"
"svchost.exe","14176","Console","33","5,388 K"
"svchost.exe","14288","Console","33","4,740 K"
"svchost.exe","22156","Console","33","12,636 K"
"AsusOptimizationStartupTask.exe","9468","Console","33","4,176 K"
"taskhostw.exe","12428","Console","33","12,792 K"
"taskhostw.exe","17572","Console","33","4,692 K"
"explorer.exe","17036","Console","33","128,480 K"
"ShellHost.exe","8784","Console","33","14,452 K"
"CrossDeviceResume.exe","17312","Console","33","5,200 K"
"svchost.exe","2792","Console","33","10,856 K"
"CrossDeviceService.exe","21408","Console","33","10,984 K"
"SearchHost.exe","20600","Console","33","21,628 K"
"StartMenuExperienceHost.exe","19224","Console","33","24,992 K"
"WidgetBoard.exe","21620","Console","33","8,156 K"
"RuntimeBroker.exe","3120","Console","33","21,720 K"
"svchost.exe","14940","Console","33","12,544 K"
"UserOOBEBroker.exe","9264","Console","33","6,128 K"
"msedgewebview2.exe","5076","Console","33","24,756 K"
"msedgewebview2.exe","14684","Console","33","5,620 K"
"msedgewebview2.exe","3996","Console","33","16,296 K"
"msedgewebview2.exe","3908","Console","33","18,472 K"
"msedgewebview2.exe","16896","Console","33","5,452 K"
"msedgewebview2.exe","21772","Console","33","18,180 K"
"RuntimeBroker.exe","15508","Console","33","5,936 K"
"ctfmon.exe","10832","Console","33","14,520 K"
"TextInputHost.exe","13120","Console","33","26,072 K"
"svchost.exe","6944","Console","33","15,612 K"
"cua-driver.exe","2876","Console","33","2,616 K"
"conhost.exe","9444","Console","33","108 K"
"chrome.exe","17632","Console","33","190,524 K"
"chrome.exe","2432","Console","33","4,720 K"
"chrome.exe","19984","Console","33","278,052 K"
"chrome.exe","16868","Console","33","40,620 K"
"chrome.exe","7236","Console","33","15,776 K"
"chrome.exe","5196","Console","33","26,720 K"
"chrome.exe","22004","Console","33","54,256 K"
"chrome.exe","5364","Console","33","566,896 K"
"chrome.exe","22460","Console","33","15,656 K"
"chrome.exe","9836","Console","33","19,948 K"
"RtkAudUService64.exe","4372","Console","33","2,564 K"
"svchost.exe","4108","Console","33","11,688 K"
"SecurityHealthSystray.exe","13332","Console","33","8,256 K"
